"","cv","val","cv.p","val.p","model","KLD.pr","KLD.pr2","KLD.roc","KS.pr","KS.pr2","KS.roc","KSp.pr","KSp.pr2","KSp.roc","area.pr","area.roc","dist.pr.mean","dist.pr.max","dist.roc.mean","fileIdx"
"1",1,2,0,0.25,1,0.0830074835075974,0.0825430077691338,0.0426441111793268,0.379310344827586,0.379310344827586,0.482758620689655,0.029931002103603,0.029931002103603,0.00197907090483529,0.0179639674275695,0.0177319745646852,-0.100553709576511,0.148326261197548,-Inf,"100"
"2",1,2,0,0.25,2,0.0250581275920756,0.0248255511792489,0.0239886784572359,0.344827586206897,0.344827586206897,0.448275862068966,0.063011969776362,0.063011969776362,0.00589035476205779,0.0209158944762883,0.0181472857373867,-0.0963140891191065,0.153179741051028,-Inf,"100"
"3",1,2,0,0.25,3,0.0453502836938747,0.0439522314317196,0.189572867644228,0.724137931034483,0.689655172413793,0.344827586206897,1.27500603186448e-07,7.08336685528721e-07,0.063011969776362,0.033137472042685,0.0109937274168546,-0.109655049160257,0.173564356435644,-Inf,"100"
"21",1,3,0,0.5,1,0.0787292750250334,0.079231752821511,0.0659236079959469,0.620689655172414,0.586206896551724,0.724137931034483,1.51455262249467e-05,5.9319977714134e-05,1.27500603186448e-07,0.0397975194364841,0.0201835380394807,-0.176651154466721,0.211985409067223,-Inf,"100"
"22",1,3,0,0.5,2,0.120507889060187,0.113600121027542,0.0232375627799614,0.620689655172414,0.620689655172414,0.620689655172414,1.51455262249467e-05,1.51455262249467e-05,2.81133329332883e-05,0.045388864260048,0.0236885209463361,-0.175129041516092,0.257200720072007,-Inf,"100"
"23",1,3,0,0.5,3,0.0356057227993785,0.0368524155957373,0.0503333467983994,0.793103448275862,0.793103448275862,0.241379310344828,2.69232014460385e-09,2.69232014460385e-09,0.371964475605593,0.0557228144958054,0.0193264609755092,-0.18707008225831,0.283099240156574,-Inf,"100"
"31",1,4,0,0.75,1,0.0400667501179802,0.0383253534252387,0.244413293790283,0.724137931034483,0.724137931034483,0.931034482758621,1.27500603186448e-07,1.27500603186448e-07,1.09690034832965e-13,0.0619987030748178,0.0311092758790082,-0.258611275996927,0.296195935383012,-Inf,"100"
"32",1,4,0,0.75,2,0.034329690865833,0.0352329805794783,0.0251605288105576,0.793103448275862,0.793103448275862,0.689655172413793,2.69232014460385e-09,2.69232014460385e-09,2.04532006908842e-06,0.0685090082610356,0.0329197169306535,-0.256386428988945,0.324883037754325,-Inf,"100"
"33",1,4,0,0.75,3,0.0483434349644841,0.0474407043022274,0.428767208570932,0.96551724137931,0.96551724137931,0.344827586206897,3.77475828372553e-15,3.77475828372553e-15,0.0635987895707569,0.0815559626671867,0.0286639342125825,-0.268012109892146,0.372976121141526,-Inf,"100"
"4",1,5,0,1,1,0.0139491359090537,0.013939381928706,0.0436772351710416,0.896551724137931,0.896551724137931,0.96551724137931,2.05213623871714e-12,2.05213623871714e-12,3.63165053585135e-12,0.0867396090588779,0.0389776706637686,-0.332247449675739,0.360736073607361,-Inf,"100"
"41",1,5,0,1,2,0.0524536853166577,0.0527691322340031,0.0579315299568333,0.931034482758621,0.931034482758621,0.551724137931034,1.09690034832965e-13,1.09690034832965e-13,0.000293263502740615,0.0951020443964821,0.0383380720473541,-0.332148478223259,0.407005216650697,-Inf,"100"
"42",1,5,0,1,3,0.0472395629124372,0.0491530282239611,0.0986164418010309,0.96551724137931,0.96551724137931,0.379310344827586,3.77475828372553e-15,3.77475828372553e-15,0.029931002103603,0.107654589034065,0.0357416126588209,-0.33731142296801,0.383147689768977,-Inf,"100"
"5",2,1,0.25,0,1,0.241370593431546,0.244766706771795,0.133892081335696,0.4375,0.4375,0.59375,0.00393063554049955,0.00393063554049955,1.43366645879439e-05,0.0725746153847602,0.0200391441564771,0.100429831944763,0.16304347826087,-Inf,"100"
"51",2,1,0.25,0,2,0.0391890459974282,0.0356480386289158,0.199620348785988,0.4375,0.4375,0.46875,0.00393063554049955,0.00393063554049955,0.00150534978173122,0.0709295163748572,0.0144505724248114,0.0978614813737519,0.16304347826087,-Inf,"100"
